연번,이름,위치1,위치2,설명,사진,개화일,Plant ID
1,노랑땅나리,희귀특산식물전시온실,,"왜 이름이 '땅'나리일까?
그 이유는 땅나리의 꽃이 땅을 바라보기 때문에!",,"7월, 8월",plant_001
2,해국,큰키소나무길,한국전통정원(별서정원),"이름이 '해'국일까?
그 이유는 국화를 닮은 이 꽃이 바닷가 바위틈에서 자라기 때문! 한자로 '海菊(바다 국화)'라는 뜻을 담고 있어.",,"7월, 8월, 9월, 10월, 11월",plant_002
3,억새,감각정원,후계목정원,"억새의 은빛 이삭은 사실 '꽃'일까?
맞아, 그게 바로 억새의 꽃이야! 화려한 꽃잎 대신 바람에 흩날리는 은백색 이삭으로 승부하는 벼과 식물이라 가을 억새밭이 장관을 이루는 거지.",,"9월, 10월",plant_003
4,향등골나물,한국전통정원(궁궐정원),공유정원,"왜 이름에 '등골'이 들어갈까?
잎맥이 마치 사람 등뼈(등골)처럼 뚜렷하게 갈라진 모양이라서 붙은 이름이야. 여기에 은은한 향이 나서 '향'자가 앞에 붙었지.",,"8월, 9월, 10월",plant_004
5,은목서,희귀특산식물원,,"왜 '은'목서일까?
사촌 격인 '금목서'는 주황빛 꽃을 피우는 반면, 은목서는 새하얀 꽃을 피우기 때문에 은빛에 빗대어 이름 붙었어. 향은 오히려 금목서보다 은은한 편이야.",,"9월, 10월",plant_005
6,노랑코스모스,민속식물원,,"일반 코스모스와 뭐가 다를까?
우리가 흔히 아는 분홍·흰색 코스모스와 달리 노란색과 주황색 계열로만 피는 별도의 종이야. 멕시코가 원산지라 더위에 강해서 한여름에도 꽃을 볼 수 있어.",,"6월, 7월, 8월, 9월, 10월",plant_006
7,천사의나팔,사계절전시온실,,"왜 '천사'의 나팔일까?
꽃이 나팔 모양으로 아래를 향해 늘어져 피는데, 그 모습이 마치 천사가 부는 나팔 같다고 해서 붙여진 이름이야. 참고로 꽃이 위를 향해 피는 독말풀 종류는 '악마의 나팔'이라 불려서 서로 대조를 이뤄.",,"6월, 7월, 8월, 9월, 10월",plant_007
8,핑크뮬리,숲정원,,"저 몽환적인 분홍빛 안개 같은 게 정말 꽃일까?
맞아, 아주 작은 꽃들이 무수히 모인 이삭이 바람에 흩날리며 안개처럼 보이는 거야. 북미가 원산지인 벼과 식물이라 우리나라에선 관상용으로 심어서 가을 명소를 만들지.",,"9월, 10월",plant_008
9,미국미역취,한국전통정원(별서정원),,"이름에 왜 '미국'이 붙었을까?
우리나라 토종 '미역취'와 생김새는 닮았지만, 북미(미국)에서 건너온 귀화식물이기 때문이야. 번식력이 워낙 강해서 생태계교란종으로도 지정된, 그야말로 '침입자' 식물이지.",,"8월, 9월, 10월",plant_009
10,가는잎향유,희귀특산식물원,,"'향유'라는 이름은 어디서 왔을까?
잎을 스치기만 해도 진한 향이 퍼져서 '향기 나는 기름(香薷)'이라는 뜻의 한자에서 유래했어. 그중에서도 잎이 가늘고 좁은 품종이라 '가는잎'이 앞에 붙은 거야.",,"9월, 10월",plant_010
11,부채파초,사계절전시온실,,왜 '부채'파초일까? 잎이 부채처럼 넓게 펼쳐져 자라서 붙은 이름! 여인초라고도 불려.,,"7월, 8월",plant_011
12,층꽃나무,궁궐정원,,왜 층'꽃'나무일까? 잎겨드랑이마다 꽃이 층층이 쌓이듯 모여 피기 때문이야.,,"8월, 9월, 10월",plant_012
13,석산,한국전통정원(별서정원),어린이정원,"왜 '석산'일까? 한자로 '돌마늘'이란 뜻인데, 뿌리 모양이 마늘을 닮아 붙여진 이름이야.",,"9월, 10월",plant_013
14,울릉국화,희귀특산식물원,야생화원,왜 '울릉'국화일까? 울릉도에서만 자라는 한국 고유 특산식물이라 붙여진 이름이야.,,"9월, 10월",plant_014
15,두메부추,생활정원,,왜 '두메'부추일까? 깊은 산골(두메)에서 자라는 부추라서 붙여진 이름이야.,,"8월, 9월",plant_015
